,i_1C (A),rp_neg (m),Eeq_side (V),kappa_film (S/m),epsl_neg,Dl_elect (m^2/s),Ds_neg (m^2/s),i0ref_neg (A/m^2),E_min (V),i0_SEI (A/m^2),csmax_neg(mol/m^3),cl_0(mol/m^3),t_plus,i0ref_metal (A/m^2),sigma_neg,SEI_thickness(m),Capacity loss (%)
0,1.3,5.5e-06,0.4,0.00024,0.3,3.75e-10,3.6e-14,0.96,0.05,4.5e-07,31500.0,1150.0,0.363,100.0,100.0,1.82958e-09,0.997685737
1,1.150931527,1.72401e-06,0.213378755,9.69357e-06,0.384088269,2.94334e-10,1.22e-14,1.402536787,0.050092087,1.11581e-06,30341.52499,1126.315194,0.276824976,75.6156352,94.1440627,7.60301e-11,0.571199716
2,5.680945868,3.34442e-06,0.156063878,0.000153762,0.251281623,1.78776e-10,9.65e-14,0.831491062,0.086178082,8.88501e-08,31285.16387,1117.806224,0.417999925,99.97589105,84.24514884,1.36251e-13,1.150914452
3,3.966808657,4.70165e-06,0.299076937,0.000189545,0.399981674,4.25927e-10,9.19e-14,2.441464222,0.053703291,4.81967e-07,32430.04237,1128.706612,0.273685531,53.9990299,99.43128072,5.99314e-11,0.654219707
4,3.262415946,7.74973e-06,0.276094951,0.000205113,0.382783006,6.77414e-10,5.04e-14,0.603949657,0.016453598,5.78668e-07,30107.01493,1127.068386,0.400822381,90.54123187,52.09151169,8.88355e-11,1.378472447
5,4.850006083,1.46956e-06,0.193955176,7.02723e-05,0.293433858,4.36879e-10,2.19e-14,1.065461786,0.014371435,3.42574e-07,32316.05391,1023.337041,0.302119164,51.39188719,79.49339228,5.07898e-12,0.513897129
6,1.174644674,1.01025e-05,0.369541223,0.000161191,0.37944696,5.52788e-10,3.08e-14,3.019511485,0.02471551,8.1821e-07,30128.1365,1062.89503,0.378801347,84.8682558,57.54085833,1.60652e-09,1.321209161
7,3.327400156,3.2938e-06,0.150958816,0.000175068,0.329627254,1.80058e-10,6.94e-14,2.992953569,0.033155006,1.21827e-06,31242.01922,1179.627472,0.416846943,92.68106798,50.23840438,9.19327e-12,0.532791747
8,3.401545079,7.4189e-06,0.274615145,1.24531e-05,0.262827372,3.09008e-10,2e-14,2.111866378,0.04996504,3.54268e-07,32395.55056,1069.827028,0.260239674,79.64103729,61.26887412,4.21355e-11,1.736551887
9,3.572230804,7.711e-06,0.253331903,0.000199307,0.333107267,7.29396e-10,6.54e-14,2.479456757,0.011014763,1.40131e-06,30020.66236,1059.454654,0.297154925,78.53820706,55.74457095,9.25978e-11,1.046523873
10,0.860421127,2.18353e-06,0.098284344,0.000106232,0.390282683,4.10962e-10,1.3e-14,3.153195804,0.04733735,6.0135e-07,30662.65073,1023.963006,0.327053373,90.16672461,61.18436122,4.72651e-12,0.52739096
11,2.874430202,8.38603e-06,0.192363014,0.000181347,0.368176817,4.34338e-10,3.2e-14,2.574898503,0.04793858,5.37935e-07,32327.98744,1060.937256,0.367166509,54.86026903,50.6978059,1.07346e-11,1.530433325
12,3.092500522,8.69308e-06,0.053477928,0.00023481,0.353368525,2.79756e-10,2.92e-14,2.833327461,0.089236739,8.33248e-07,32650.91243,1038.028986,0.358290879,86.63084333,78.23728629,2.03986e-13,3.395851764
13,1.857770466,7.84255e-06,0.200465299,0.000111337,0.382737566,6.06432e-10,7.34e-14,0.559022919,0.018960128,6.68331e-07,31471.80186,1075.071258,0.398673049,88.44380895,80.37287748,3.18193e-11,0.776844003
14,5.332793799,8.54481e-06,0.032230201,7.52849e-05,0.393972172,6.14399e-10,5.89e-14,2.450870893,0.018590392,1.41771e-06,32669.29469,1101.094126,0.339961323,84.17035277,70.03861037,5.84142e-13,1.649685541
15,6.340198905,7.89062e-06,0.203007733,6.07494e-05,0.237369026,2.24484e-10,1.39e-14,1.890260477,0.080955234,1.43986e-07,29091.14827,1107.132374,0.304375456,68.67094273,81.87309668,5.76802e-13,8.809931652
